INFO:__mp_main__:< current epoch -> 0 || 1 of 14 done || time elapsed 7.0749194622039795 || current lr -> 0.0005 || current loss -> 0.6894813179969788 >
INFO:__mp_main__:< current epoch -> 0 || 2 of 14 done || time elapsed 6.958114385604858 || current lr -> 0.0005 || current loss -> 0.2517496347427368 >
INFO:__mp_main__:< current epoch -> 0 || 3 of 14 done || time elapsed 6.976499557495117 || current lr -> 0.0005 || current loss -> 0.20963874459266663 >
INFO:__mp_main__:< current epoch -> 0 || 4 of 14 done || time elapsed 6.954857110977173 || current lr -> 0.0005 || current loss -> 0.2536739110946655 >
INFO:__mp_main__:< current epoch -> 0 || 5 of 14 done || time elapsed 6.951400518417358 || current lr -> 0.0005 || current loss -> 0.21242445707321167 >
INFO:__mp_main__:< current epoch -> 0 || 6 of 14 done || time elapsed 6.970640182495117 || current lr -> 0.0005 || current loss -> 0.21116963028907776 >
INFO:__mp_main__:< current epoch -> 0 || 7 of 14 done || time elapsed 6.983910083770752 || current lr -> 0.0005 || current loss -> 0.20230966806411743 >
INFO:__mp_main__:< current epoch -> 0 || 8 of 14 done || time elapsed 6.995049238204956 || current lr -> 0.0005 || current loss -> 0.19875568151474 >
INFO:__mp_main__:< current epoch -> 0 || 9 of 14 done || time elapsed 7.005136013031006 || current lr -> 0.0005 || current loss -> 0.20063945651054382 >
INFO:__mp_main__:< current epoch -> 0 || 10 of 14 done || time elapsed 7.020249128341675 || current lr -> 0.0005 || current loss -> 0.20901383459568024 >
INFO:__mp_main__:< current epoch -> 0 || 11 of 14 done || time elapsed 7.04394268989563 || current lr -> 0.0005 || current loss -> 0.19579316675662994 >
INFO:__mp_main__:< current epoch -> 0 || 12 of 14 done || time elapsed 7.064140558242798 || current lr -> 0.0005 || current loss -> 0.1893986314535141 >
INFO:__mp_main__:< current epoch -> 0 || 13 of 14 done || time elapsed 7.053212642669678 || current lr -> 0.0005 || current loss -> 0.1972578465938568 >
INFO:__mp_main__:< current epoch -> 0 || 14 of 14 done || time elapsed 4.887620687484741 || current lr -> 0.0005 || current loss -> 0.1922166347503662 >
INFO:__mp_main__:------------------------------------ 1 of 50 done, total loss 0.24382304400205612 ------------------------------------
INFO:__mp_main__:< current epoch -> 1 || 1 of 14 done || time elapsed 7.080160617828369 || current lr -> 0.0005 || current loss -> 0.20006221532821655 >
INFO:__mp_main__:< current epoch -> 1 || 2 of 14 done || time elapsed 7.0872581005096436 || current lr -> 0.0005 || current loss -> 0.18957968056201935 >
INFO:__mp_main__:< current epoch -> 1 || 3 of 14 done || time elapsed 7.083284616470337 || current lr -> 0.0005 || current loss -> 0.18995793163776398 >
INFO:__mp_main__:< current epoch -> 1 || 4 of 14 done || time elapsed 7.112236738204956 || current lr -> 0.0005 || current loss -> 0.1882876604795456 >
INFO:__mp_main__:< current epoch -> 1 || 5 of 14 done || time elapsed 7.098158359527588 || current lr -> 0.0005 || current loss -> 0.1916690468788147 >
INFO:__mp_main__:< current epoch -> 1 || 6 of 14 done || time elapsed 7.117568731307983 || current lr -> 0.0005 || current loss -> 0.18340712785720825 >
INFO:__mp_main__:< current epoch -> 1 || 7 of 14 done || time elapsed 7.10661768913269 || current lr -> 0.0005 || current loss -> 0.1624297797679901 >
INFO:__mp_main__:< current epoch -> 1 || 8 of 14 done || time elapsed 7.127229690551758 || current lr -> 0.0005 || current loss -> 0.18439513444900513 >
