INFO:__mp_main__:< current epoch -> 2 || 14 of 14 done || time elapsed 4.949968099594116 || current lr -> 0.0001 || current loss -> 0.1657177060842514 >
INFO:__mp_main__:------------------------------------ 3 of 100 done, total loss 0.17536617602620805 ------------------------------------
INFO:__mp_main__:< current epoch -> 3 || 1 of 14 done || time elapsed 7.146979570388794 || current lr -> 0.0001 || current loss -> 0.18689313530921936 >
INFO:__mp_main__:< current epoch -> 3 || 2 of 14 done || time elapsed 7.146726846694946 || current lr -> 0.0001 || current loss -> 0.1747683733701706 >
INFO:__mp_main__:< current epoch -> 3 || 3 of 14 done || time elapsed 7.143163681030273 || current lr -> 0.0001 || current loss -> 0.17407168447971344 >
INFO:__mp_main__:< current epoch -> 3 || 4 of 14 done || time elapsed 7.148196458816528 || current lr -> 0.0001 || current loss -> 0.1719861477613449 >
INFO:__mp_main__:< current epoch -> 3 || 5 of 14 done || time elapsed 7.146153926849365 || current lr -> 0.0001 || current loss -> 0.17571139335632324 >
INFO:__mp_main__:< current epoch -> 3 || 6 of 14 done || time elapsed 7.147465229034424 || current lr -> 0.0001 || current loss -> 0.16777300834655762 >
INFO:__mp_main__:< current epoch -> 3 || 7 of 14 done || time elapsed 7.138383150100708 || current lr -> 0.0001 || current loss -> 0.15457259118556976 >
INFO:__mp_main__:< current epoch -> 3 || 8 of 14 done || time elapsed 7.135924339294434 || current lr -> 0.0001 || current loss -> 0.16655004024505615 >
INFO:__mp_main__:< current epoch -> 3 || 9 of 14 done || time elapsed 7.155461549758911 || current lr -> 0.0001 || current loss -> 0.16138334572315216 >
INFO:__mp_main__:< current epoch -> 3 || 10 of 14 done || time elapsed 7.1523847579956055 || current lr -> 0.0001 || current loss -> 0.1684744656085968 >
INFO:__mp_main__:< current epoch -> 3 || 11 of 14 done || time elapsed 7.1384594440460205 || current lr -> 0.0001 || current loss -> 0.15799377858638763 >
INFO:__mp_main__:< current epoch -> 3 || 12 of 14 done || time elapsed 7.142279624938965 || current lr -> 0.0001 || current loss -> 0.16441281139850616 >
INFO:__mp_main__:< current epoch -> 3 || 13 of 14 done || time elapsed 7.147791147232056 || current lr -> 0.0001 || current loss -> 0.1654043346643448 >
INFO:__mp_main__:< current epoch -> 3 || 14 of 14 done || time elapsed 4.964639902114868 || current lr -> 0.0001 || current loss -> 0.15606287121772766 >
INFO:__mp_main__:------------------------------------ 4 of 100 done, total loss 0.16757557008947646 ------------------------------------
INFO:__mp_main__:< current epoch -> 4 || 1 of 14 done || time elapsed 7.14467191696167 || current lr -> 0.0001 || current loss -> 0.17564757168293 >
INFO:__mp_main__:< current epoch -> 4 || 2 of 14 done || time elapsed 7.124749422073364 || current lr -> 0.0001 || current loss -> 0.16968411207199097 >
INFO:__mp_main__:< current epoch -> 4 || 3 of 14 done || time elapsed 7.135908126831055 || current lr -> 0.0001 || current loss -> 0.16468439996242523 >
INFO:__mp_main__:< current epoch -> 4 || 4 of 14 done || time elapsed 7.148830890655518 || current lr -> 0.0001 || current loss -> 0.16457173228263855 >
INFO:__mp_main__:< current epoch -> 4 || 5 of 14 done || time elapsed 7.140870809555054 || current lr -> 0.0001 || current loss -> 0.16966292262077332 >
INFO:__mp_main__:< current epoch -> 4 || 6 of 14 done || time elapsed 7.144361972808838 || current lr -> 0.0001 || current loss -> 0.15999244153499603 >
INFO:__mp_main__:< current epoch -> 4 || 7 of 14 done || time elapsed 7.137675046920776 || current lr -> 0.0001 || current loss -> 0.14853999018669128 >
INFO:__mp_main__:< current epoch -> 4 || 8 of 14 done || time elapsed 7.149318218231201 || current lr -> 0.0001 || current loss -> 0.1596846729516983 >
INFO:__mp_main__:< current epoch -> 4 || 9 of 14 done || time elapsed 7.144525527954102 || current lr -> 0.0001 || current loss -> 0.1567002236843109 >
INFO:__mp_main__:< current epoch -> 4 || 10 of 14 done || time elapsed 7.151568651199341 || current lr -> 0.0001 || current loss -> 0.16293250024318695 >
INFO:__mp_main__:< current epoch -> 4 || 11 of 14 done || time elapsed 7.131747245788574 || current lr -> 0.0001 || current loss -> 0.1502895951271057 >
INFO:__mp_main__:< current epoch -> 4 || 12 of 14 done || time elapsed 7.133993148803711 || current lr -> 0.0001 || current loss -> 0.15892751514911652 >
INFO:__mp_main__:< current epoch -> 4 || 13 of 14 done || time elapsed 7.139638185501099 || current lr -> 0.0001 || current loss -> 0.15925580263137817 >
INFO:__mp_main__:< current epoch -> 4 || 14 of 14 done || time elapsed 4.951539993286133 || current lr -> 0.0001 || current loss -> 0.1516266018152237 >
INFO:__mp_main__:------------------------------------ 5 of 100 done, total loss 0.1608714344246047 ------------------------------------
INFO:__mp_main__:< current epoch -> 5 || 1 of 14 done || time elapsed 7.1345038414001465 || current lr -> 0.0001 || current loss -> 0.17058295011520386 >
INFO:__mp_main__:< current epoch -> 5 || 2 of 14 done || time elapsed 7.149703025817871 || current lr -> 0.0001 || current loss -> 0.16198280453681946 >
INFO:__mp_main__:< current epoch -> 5 || 3 of 14 done || time elapsed 7.15107798576355 || current lr -> 0.0001 || current loss -> 0.16002070903778076 >
INFO:__mp_main__:< current epoch -> 5 || 4 of 14 done || time elapsed 7.160852432250977 || current lr -> 0.0001 || current loss -> 0.15788742899894714 >
INFO:__mp_main__:< current epoch -> 5 || 5 of 14 done || time elapsed 7.14194917678833 || current lr -> 0.0001 || current loss -> 0.1654643416404724 >
INFO:__mp_main__:< current epoch -> 5 || 6 of 14 done || time elapsed 7.140146493911743 || current lr -> 0.0001 || current loss -> 0.15550781786441803 >
INFO:__mp_main__:< current epoch -> 5 || 7 of 14 done || time elapsed 7.133312702178955 || current lr -> 0.0001 || current loss -> 0.1460193544626236 >
INFO:__mp_main__:< current epoch -> 5 || 8 of 14 done || time elapsed 7.145510911941528 || current lr -> 0.0001 || current loss -> 0.15485908091068268 >
INFO:__mp_main__:< current epoch -> 5 || 9 of 14 done || time elapsed 7.1461181640625 || current lr -> 0.0001 || current loss -> 0.15286511182785034 >
